Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,2.470000,2.470000,2.290000,2.380000,2.380000,28300
2023-03-14,2.310000,2.400000,2.310000,2.310000,2.310000,29700
2023-03-15,2.280000,2.360000,2.250000,2.260000,2.260000,21300
2023-03-16,2.300000,2.300000,2.250000,2.300000,2.300000,8700
2023-03-17,2.250000,2.300000,2.250000,2.260000,2.260000,12100
2023-03-20,2.290000,2.300000,2.260000,2.260000,2.260000,4900
2023-03-21,2.310000,2.310000,2.230000,2.230000,2.230000,7900
2023-03-22,2.200000,2.210000,1.840000,1.860000,1.860000,232100
2023-03-23,1.860000,2.110000,1.860000,1.920000,1.920000,42200
2023-03-24,1.870000,1.990000,1.870000,1.980000,1.980000,7800
2023-03-27,1.980000,1.990000,1.940000,1.990000,1.990000,10100
2023-03-28,1.940000,1.990000,1.850000,1.870000,1.870000,43900
2023-03-29,1.850000,1.920000,1.850000,1.880000,1.880000,18200
2023-03-30,1.880000,1.950000,1.870000,1.880000,1.880000,10100
2023-03-31,1.860000,1.920000,1.820000,1.870000,1.870000,12300
2023-04-03,1.850000,1.880000,1.820000,1.850000,1.850000,17500
2023-04-04,1.820000,1.870000,1.750000,1.790000,1.790000,46500
2023-04-05,1.800000,1.810000,1.710000,1.740000,1.740000,62400
2023-04-06,1.740000,1.760000,1.700000,1.740000,1.740000,76100
2023-04-10,1.710000,1.850000,1.710000,1.800000,1.800000,16000
2023-04-11,1.830000,1.890000,1.830000,1.870000,1.870000,7900
